id,name,oao,address,avcr_note,avcr_date,mkcr_note,mkcr_date
98574,Muzeum regionu Valašsko,Muzeum Vsetín,Horní nám. 2<br> 75501 Vsetín,okres Vsetín,7.11.2006,čj. 4769/2006,25.8.2006
92401,Muzeum Vyškovska ve Vyškově,Muzeum Vyškov,Nám. Čsl. armády 2<br> 68212 Vyškov,okres Vyškov,12.5.1999,–,30. 5. 1988
372331,Regionální muzeum ve Vysokém Mýtě,Muzeum Vysoké Mýto,Šemberova 125<br> 56601 Vysoké Mýto,Pardubický kraj,10/4/2005,čj. 9916/2005,9/15/2005
360805,Regionální muzeum K. A. Polánka v Žatci,Muzeum Žatec,Husova  678<br> 43801 Žatec,"býv. okres Louny a Chomutov, dle hranic správní reformy z roku 1960",3/1/2001,7492/88,–
89982,Muzeum jihovýchodní Moravy ve Zlíně,Muzeum Zlín,Soudní  1<br> 76257 Zlín,region jihovýchodní Moravy,8.3.1999,čj. 1947/2005,28.6.2005
92738,Jihomoravské muzeum Znojmo,Muzeum Znojmo,Přemyslovců 8<br> 66945 Znojmo,okres Znojmo,26.3.1999,čj. 3475/2001,25.6.2001
23272,Národní muzeum v Praze,Národní muzeum,Václavské nám. 68<br> 11579  Praha 1,Česká republika,7/3/2002,čj. 696/2003,4/16/2003
–,Národní technické muzeum,Národní technické muzeum,–,–,–,čj. 7855/2005,6/3/2005
27057895,Naše historie o.s.,Naše historie,–,–,7. 10. 2015 (na 3 roky),MK 9566/2014 OPP,8.4.2015 (na 3 roky)
75032333,Národní památkový ústav,NPÚ,Valdštejnské nám. 3<br> 11801 Praha 1,Česká republika,3/23/1999,čj. 7737/2001,7/19/2001
289 66 465,"Pueblo - archeologická společnost, o.p.s.",Pueblo,Podjavorinské 1601/8<br> 14900 Praha 4,"kraj Středočeský, Jihočeský, Plzeňský a Vysočina",28.4.2017 (na 5 let),MK 28652/2017 OPP,19.4.2017 (na 5 let)
47813059,Slezská univerzita v Opavě,SU Opava,Na Rybníčku 626/1<br> 74601 Opava,Moravskoslezský a Olomoucký kraj,8.8.2005,č.j. 4202/2005,20.6.2005
22736328,"Syrakus, z.s.",Syrakus,Havlíčkova 1026/6<br> 11000 Praha 1,kraj Středočeský,27. 6. 2018 (účinná od 19. 7. 2018 na 5 let),MK 36273/2018 OPP,5/24/2018
